205924614	3
205944181	3
205947161	3
205947214	3
205950854	3
205976958	3
205990339	3
205996447	3
205999468	3
206011496	3
206011691	3
206024342	3
206026136	3
206026904	3
206027655	3
206029450	3
206032309	3
206036749	3
206038483	3
206042996	3
210400751	4
210401157	4
210403955	4
210414957	4
210508766	4
210513446	4
210558622	4
210577548	4
210605073	4
210625740	4
210659688	4
210666756	4
210707130	4
210744674	4
210754505	4
210789323	4
210838726	4
210903662	4
210954046	4
210958990	4
211314705	5
211319617	5
211328748	5
211331236	5
211335816	5
211336616	5
211342524	5
211357309	5
211359660	5
211375488	5
211383821	5
211391664	5
211399359	5
211413752	5
211418729	5
211424769	5
211428897	5
211439059	5
211442297	5
211490999	5
212270970	6
212297394	6
212300977	6
212301649	6
212321305	6
212330265	6
212351026	6
212351405	6
212370106	6
212380207	6
212393193	6
212398508	6
212420823	6
212425103	6
212432685	6
212435047	6
212440430	6
212443973	6
212451091	6
212454160	6
213045572	7
213070094	7
213086465	7
213102725	7
213114187	7
213117165	7
213129681	7
213130332	7
213130851	7
213160048	7
213160885	7
213174887	7
213189631	7
213190817	7
213192833	7
213193917	7
213198254	7
213200356	7
213201754	7
213214814	7
220133206	8
220141540	8
220141787	8
220142506	8
220142862	8
220142943	8
220143498	8
220144271	8
220145371	8
220145762	8
220146202	8
220146494	8
220147299	8
220147333	8
220147388	8
220147993	8
220148496	8
220148737	8
220149551	8
220150121	8
