Dates Flux Corrflux Xpos Ypos
2228.902783 189181.357617 1.0015324892842374 7.50024 6.072572
2228.923215 189160.807898 1.0015495934229781 7.469973 6.059515
2228.943648 189095.378828 1.001298164545913 7.438473 6.048381
2228.96408 189143.50361 1.0016228537039935 7.404507 6.035614
2228.984513 189032.21906 1.0010704901334062 7.371295 6.023451
2229.004945 189015.044367 1.000988427159902 7.337507 6.012116
2229.025378 188979.78216 1.0007817072590917 7.299897 6.000054
2229.04581 188968.805591 1.0006710893378226 7.259733 5.986633
2229.066243 188980.293726 1.0006334097928549 7.212772 5.968988
2229.086675 189045.458266 1.0008491795848815 7.164902 5.954256
2229.107108 189092.752405 1.0009544565535557 7.120043 5.939321
2229.12754 189761.14682 1.0043357456569832 7.07735 5.92296
2229.147973 189137.705807 1.000886544159866 7.037205 5.911134
2229.168405 189096.303187 1.000504179705715 6.995234 5.896782
2229.188838 189173.764333 1.000720723553373 6.944721 5.880322
2229.20927 189258.341086 1.0010089811311718 6.901796 5.864768
2229.229703 189269.126264 1.0009175469500198 6.857985 5.849328
2229.250135 189267.748867 1.0007650283307894 6.80809 5.832101
2229.270568 189379.858016 1.0012488380170732 6.761156 5.813358
2229.291 189346.431647 1.0009948827162762 6.708053 5.791461
2229.311433 189423.931495 1.0013881134236113 6.656599 5.769482
2229.331865 189416.125556 1.001382033947442 6.61944 5.746789
2229.352298 189492.961829 1.0018290701269463 6.604514 5.722387
2229.37273 189521.898481 1.0020410825254795 6.589254 5.697464
2229.393163 189477.486233 1.0018935249903207 6.571607 5.671502
2229.413595 189394.578239 1.001583393482051 6.551545 5.642818
2229.434028 189192.062295 1.0007978568777884 6.507467 5.618764
2229.45446 189064.203487 1.000433340918345 6.469031 5.604663
2229.515758 189096.849453 1.001046799970182 7.121705 5.984572
2229.53619 189067.085316 1.0007395827783487 7.078896 5.968505
2229.556623 189082.144003 1.000632776078361 7.029295 5.95078
2229.577055 189174.183008 1.0009403986238976 6.983815 5.933498
2229.597488 189265.971981 1.0012523741619765 6.939997 5.916196
2229.61792 189145.602339 1.0004371170774045 6.89305 5.897735
2229.638353 189265.732714 1.000910350646345 6.846794 5.879067
2229.658785 189265.552373 1.000759461777488 6.797327 5.858562
2229.679218 189435.495871 1.0015462735439835 6.750571 5.838105
2229.69965 189491.201428 1.0017742655292488 6.709058 5.821003
2229.760948 189042.477483 1.0010505099922444 7.384685 6.121705
2229.78138 189038.742846 1.0010832902234235 7.354818 6.108127
2229.801813 189053.93389 1.0011917877258358 7.321883 6.09267
2229.822245 189016.661231 1.0009944079898245 7.290974 6.079421
2229.842678 188986.913321 1.000815322944269 7.261102 6.066386
2229.86311 189087.353833 1.0013058063048765 7.230507 6.053804
2229.883543 189101.730775 1.0013234330658507 7.199752 6.042092
2229.903975 189035.672691 1.0008805131504892 7.162273 6.026565
2229.924408 189000.502233 1.0005667636798077 7.119531 6.010339
2229.94484 189133.338911 1.001139462365789 7.081021 5.996196
2229.965273 189122.263161 1.0009378562673026 7.042405 5.981403
2229.985705 189222.693725 1.001313813734531 7.002289 5.966332
2230.006138 189247.825384 1.0012929428410788 6.963631 5.951203
2230.02657 189277.582188 1.001291553503527 6.924126 5.933926
2230.047003 189290.255848 1.0011885833343235 6.879684 5.915202
2230.067435 189242.757995 1.0008026414228504 6.841559 5.89919
2230.087868 189310.744918 1.0010452895066408 6.80493 5.883009
2230.128733 189444.006725 1.0015728435265616 6.732579 5.850384
2230.149165 189589.590967 1.0022849416052808 6.692687 5.832868
2230.169598 189447.944424 1.0015131445739143 6.652708 5.812427
2230.19003 189414.992832 1.0013598305272715 6.612543 5.790832
2230.251328 189164.904308 1.001299679247399 7.473682 6.191524
2230.27176 189020.42822 1.0007280679297479 7.436562 6.172379
2230.292192 189038.238641 1.0009634156621308 7.398352 6.154686
2230.312625 189017.331203 1.000937463861836 7.364352 6.138086
2230.333057 188978.331017 1.0007772205789274 7.332061 6.123404
2230.35349 189070.698257 1.0012833533167893 7.299788 6.108412
2230.373922 189052.901325 1.0011763643833531 7.263522 6.092009
2230.394355 189101.916805 1.0013844692391383 7.222144 6.072463
2230.414787 189034.055418 1.0009385371918718 7.179122 6.054998
2230.43522 189162.555156 1.0014959018139455 7.134468 6.034787
2230.455652 189170.328966 1.001387729128208 7.088573 6.016384
2230.476085 189170.612457 1.0012378038285892 7.046663 6.000368
2230.496517 189242.241737 1.001456881261853 7.005012 5.984609
2230.51695 189276.497236 1.001474680270546 6.964826 5.966616
2230.537382 189301.02935 1.0014346005588148 6.922517 5.94858
2230.557815 189295.167977 1.001224687949623 6.87669 5.927609
2230.578247 189364.40158 1.0014330333286354 6.832194 5.908378
2230.59868 189426.322328 1.0015921485434438 6.777015 5.882993
2230.619112 189472.795624 1.001721151515403 6.725378 5.859364
2230.639544 189564.210642 1.002144633242159 6.681999 5.838526
2230.659977 189455.846745 1.0015549516093512 6.643028 5.819041
2230.680409 189408.150176 1.0013219953814194 6.608897 5.801743
