Dates Flux Corrflux Xpos Ypos
2228.820882 20504.94599 0.9915874283980942 6.383048 4.9645
2228.841315 20458.286507 0.9893715398394809 6.373992 4.977785
2228.861747 20473.530981 0.9901354880747244 6.363029 4.994336
2228.88218 20539.08105 0.9933102704688311 6.351199 5.012596
2228.902612 20600.020449 0.9962440937833164 6.341189 5.028557
2228.923044 20579.191816 0.9952080037922001 6.330608 5.045208
2228.943477 20600.991686 0.9962236216189047 6.321172 5.061925
2228.963909 20563.708549 0.994371913259708 6.311169 5.077174
2228.984342 20638.911294 0.9979542460111074 6.302286 5.093148
2229.004774 20638.587099 0.9978821887004012 6.29409 5.108065
2229.025206 20618.273574 0.9968270302525283 6.284883 5.126915
2229.045639 20647.529939 0.9980599354459883 6.256388 5.14267
2229.066071 20644.263556 0.9976165098861609 6.216709 5.161984
2229.086504 20763.021649 1.0030391274735126 6.177471 5.181919
2229.106936 20859.503168 1.0073773701215316 6.139009 5.198364
2229.127369 20947.879265 1.0113290612766954 6.099069 5.203773
2229.147801 20801.706502 1.0040186503194182 6.066853 5.208172
2229.168234 20789.514127 1.0031333682004875 6.028278 5.213666
2229.209099 20829.958731 1.004501916186567 5.943798 5.226033
2229.229531 20837.09361 1.0046241928154107 5.903596 5.232567
2229.249963 20850.958739 1.005114184332786 5.860505 5.239586
2229.270396 20889.906796 1.006884924178161 5.814137 5.246076
2229.290828 20917.457102 1.008217718323225 5.762068 5.253632
2229.311261 20848.806389 1.00506385836099 5.710606 5.260779
2229.331693 20884.317049 1.007116332715824 5.657271 5.268589
2229.352125 20917.609598 1.0092615521829995 5.604093 5.275714
2229.372558 20813.338474 1.0050107269657689 5.549333 5.282377
2229.39299 20815.529991 1.0061727163425056 5.494295 5.290259
2229.413423 20858.162439 1.009048380583536 5.461623 5.300114
2229.433855 20821.162384 1.0081138261356437 5.432078 5.309176
2229.454288 20867.685624 1.010994538485076 5.413182 5.31625
2229.515585 20790.679778 1.0041746798882374 6.155789 5.199829
2229.536017 20816.594433 1.0051055731239802 6.117181 5.212737
2229.55645 20836.107119 1.0057079129831545 6.074261 5.21903
2229.576882 20660.012783 0.9968910383419689 6.032553 5.224001
2229.597315 20739.51137 1.0004275673640943 5.991313 5.229984
2229.617747 20832.670131 1.0046342470936565 5.947365 5.236086
2229.638179 20854.059814 1.0054251087389687 5.903018 5.242121
2229.658612 20821.833468 1.0036883402146677 5.856446 5.249367
2229.679044 20821.55049 1.0035823429471546 5.809535 5.255687
2229.699477 20764.148834 1.0008231018595768 5.768568 5.26153
