Dates Flux Corrflux Xpos Ypos
2229.025322 103742.937067 1.0163402638349204 7.463596 5.331599
2229.045754 103685.22456 1.0157286394898761 7.49402 5.328098
2229.066187 103639.923045 1.0152326872313622 7.529332 5.309209
2229.086619 103743.74544 1.0162350534976219 7.565888 5.293347
2229.107052 103671.703064 1.0155691750121183 7.600022 5.277023
2229.127484 103714.102126 1.0160997087424493 7.634417 5.259331
2229.147917 103673.104459 1.0158671562852808 7.664478 5.246409
2229.168349 103603.841561 1.0154672538284244 7.697114 5.231257
2229.188782 103583.286917 1.0157440295863738 7.736867 5.21489
2229.209214 103351.487511 1.0140349967160756 7.770758 5.199751
2229.229647 103279.364205 1.0140773942786596 7.806356 5.185003
2229.250079 103402.366723 1.016378295211834 7.847452 5.168891
2229.290944 103084.850678 1.0164850513271895 7.932359 5.133843
2229.311377 103040.960065 1.0183195840744468 7.977012 5.116519
2229.331809 102759.15134 1.018392508178799 8.024533 5.099771
2229.352242 102245.639387 1.0165265251443552 8.068518 5.081789
2229.372674 101887.923899 1.0166011373000983 8.111596 5.065011
2229.393107 101253.455151 1.0149098294003565 8.160513 5.048034
2229.413539 100542.507746 1.0133375067405566 8.210878 5.029031
2229.433972 99617.649556 1.0095150226024012 8.25534 5.012077
2229.515701 103558.803026 1.01447998935542 7.613509 5.283527
2229.536134 103546.13264 1.0144749104746553 7.645367 5.267493
2229.556566 103572.993312 1.0149745166932427 7.682407 5.25068
2229.576999 103409.100793 1.0136999129523432 7.716197 5.234746
2229.597431 103262.44712 1.01271022610129 7.748997 5.218759
2229.617864 103183.537206 1.0125883915965601 7.785431 5.20207
2229.638296 103140.751453 1.013011797449438 7.822089 5.185828
2229.658729 103188.929547 1.0146595827547176 7.862862 5.169001
2229.679161 103041.336525 1.0146490046071168 7.902432 5.151614
2229.699594 102963.325966 1.01538528341435 7.938079 5.138641
2229.760891 103885.190101 1.0178325501080276 7.430237 5.407658
2229.781323 103892.239339 1.0178763201018546 7.452233 5.399652
2229.801756 103674.598752 1.0156958405512142 7.477247 5.380411
2229.822188 103622.670231 1.015137947108677 7.499555 5.361824
2229.842621 103569.989489 1.014577141086543 7.521871 5.34385
2229.863053 103491.411491 1.0137758846223022 7.543896 5.327908
2229.883486 103533.267709 1.0141724110516737 7.566349 5.313676
2229.903918 103488.765484 1.0137510086311545 7.593271 5.298743
2229.924351 103415.439746 1.0130970621250994 7.623607 5.28376
2229.944783 103313.268567 1.0122076737894943 7.65104 5.270578
2229.965216 103263.566368 1.0118959304096466 7.6788 5.257148
2229.985648 103223.316025 1.0117577201817558 7.707698 5.243877
2230.00608 103169.476889 1.011570918818312 7.736183 5.230477
2230.026513 103080.796335 1.0111620856780443 7.765453 5.215704
2230.046945 103125.557342 1.012262473396459 7.799475 5.200933
2230.067378 103101.043344 1.0127507715728776 7.829799 5.18804
2230.08781 103034.066467 1.0129771863649073 7.860058 5.174555
2230.271702 103711.116581 1.016133282553104 7.403222 5.452505
2230.292135 103592.420042 1.014974469257231 7.431865 5.441099
2230.312567 103563.667298 1.0146689128965207 7.45665 5.424216
2230.333 103464.247184 1.0136533907016383 7.479288 5.404508
2230.353432 103316.488577 1.0121547675649087 7.502723 5.384684
2230.373864 103235.829284 1.0113096510777175 7.528888 5.362623
2230.394297 104257.44519 1.0212762613324917 7.555233 5.337832
2230.414729 103140.244802 1.0103262697190436 7.588367 5.315486
2230.435162 103302.347899 1.0119721340399308 7.619847 5.29002
2230.455594 103245.018063 1.0115374455042776 7.651028 5.271181
2230.476027 103068.696426 1.0099932880510385 7.679991 5.257146
2230.496459 102919.87145 1.0087957914622814 7.709492 5.24428
2230.516891 102873.50199 1.0086949987411284 7.738033 5.229494
2230.557756 102834.466882 1.0095172840155338 7.804567 5.19879
2230.639486 102307.124991 1.0101861400911125 7.96678 5.132692
2230.659919 102078.296333 1.0098174899772017 8.000699 5.119171
2230.741648 103543.107225 1.0141818633981228 7.329203 5.513173
2230.762081 103365.486557 1.012570526267976 7.351235 5.503144
2230.782513 103295.572202 1.0119741297394211 7.372969 5.493923
2230.823378 103318.858896 1.012278226655431 7.402448 5.473906
2230.84381 103270.716691 1.0118243787531633 7.426142 5.462857
2230.864243 104436.269576 1.0232400308751919 7.44349 5.450212
2230.884675 103228.355273 1.0113701516735465 7.471641 5.4276
2230.905108 103125.006006 1.010309047718218 7.496126 5.40733
2230.92554 103747.740088 1.0163522146044388 7.52125 5.383666
2230.945973 102959.24346 1.0085750721693922 7.550567 5.360903
2230.966405 102888.236808 1.007857079645423 7.572953 5.344936
2230.986837 102803.795102 1.007030022468607 7.594305 5.326594
2231.00727 102753.438805 1.006565985467507 7.615922 5.310116
2231.027702 102587.275426 1.005004604905556 7.638707 5.294568
2231.048135 102637.820958 1.0056222206798007 7.664353 5.279089
2231.068567 102565.000756 1.0051530746905162 7.695272 5.257074
2231.089 102543.973278 1.005287461663052 7.728423 5.242187
2231.109432 102378.077325 1.0041273492459684 7.761715 5.227083
2231.129864 103610.878362 1.016801689076912 7.793779 5.21325
2231.150297 102377.097617 1.005457516151296 7.827533 5.19864
2231.170729 102233.412641 1.0049653913740537 7.860638 5.184518
2231.191162 102136.195156 1.0049800468435546 7.889342 5.171082
2231.211594 102037.992669 1.0048933568325453 7.912297 5.160895
2231.232026 102042.587917 1.0058074342871721 7.932899 5.152287
2231.252459 101874.73214 1.0054369728119743 7.960152 5.140922
2231.272891 101747.058708 1.006013820016733 7.994686 5.127469
2231.313756 101139.908129 1.0041020893204269 8.058455 5.103334
2231.334188 100945.691937 1.0042654696943736 8.085513 5.091964
2231.354621 100522.232241 1.0023095603051764 8.113644 5.083018
2231.375053 100127.162559 1.0006633263516684 8.138971 5.073063
2231.477215 102160.169801 1.0018399126071478 7.751836 5.23131
2231.497648 102322.818346 1.0039690095458227 7.783228 5.21646
2231.51808 102337.197222 1.0047883180102934 7.815757 5.203015
2231.538513 102102.248249 1.0033415928275695 7.849965 5.190376
2231.558945 102025.338741 1.003585288023883 7.881544 5.176205
2231.579377 101890.941925 1.003286036526602 7.909747 5.164874
2231.59981 101809.355876 1.0036790818307342 7.9373 5.151594
2231.620242 101695.333761 1.0037625291424617 7.962764 5.141221
2231.640675 101423.740441 1.0024789833362642 7.989731 5.131465
2231.722404 102270.21017 1.0018001489484076 7.585978 5.34707
2231.742837 102272.268542 1.0018387123083567 7.614994 5.326141
2231.763269 102182.316491 1.001036321215414 7.644775 5.304733
2231.783701 102848.53165 1.0076611955845927 7.664005 5.288246
2231.804134 102230.453451 1.001718798818484 7.682089 5.277706
2231.824566 101996.829395 0.9995842433756337 7.699012 5.263105
2231.844999 103020.518744 1.0097700138483185 7.713111 5.252371
2231.865431 102930.938126 1.0091184051058824 7.73183 5.241385
2231.885863 101821.607259 0.998507365909451 7.751879 5.233088
2231.906296 101875.054099 0.9993238600421468 7.770078 5.224228
2231.926728 101762.484923 0.9985906445209337 7.791637 5.217132
2231.94716 101837.243042 0.9998020364752425 7.814129 5.207197
2231.967593 101767.185255 0.999896768171793 7.844419 5.192513
2231.988025 101599.720873 0.9992633020412364 7.877131 5.17731
2232.008458 101573.235459 0.9999845089459352 7.905008 5.166334
2232.02889 101518.091126 1.0004139950881894 7.929005 5.156385
2232.049323 101250.431199 0.9988911823322191 7.95333 5.145823
2232.212782 101924.208255 0.9984577223037653 7.630512 5.318319
2232.233214 101745.375748 0.9967794773666885 7.652058 5.302917
2232.253646 101670.029607 0.9961449767798349 7.67182 5.288989
2232.274079 101760.592397 0.9972505475851411 7.6993 5.268011
2232.294511 101651.214422 0.9965221368905186 7.729335 5.245862
2232.314944 101637.982996 0.9968027216998644 7.758133 5.229953
2232.335376 101594.321984 0.9968575926889284 7.786508 5.217724
2232.355808 101490.352743 0.9964518167993092 7.81574 5.204878
2232.376241 101575.872977 0.9981942941152943 7.850551 5.189523
2232.396673 101309.095351 0.9966709811881744 7.885882 5.175374
2232.417105 101150.53477 0.9963944278558425 7.920624 5.162093
2232.437538 100944.131575 0.9957565174747995 7.952337 5.14897
2232.478403 100621.19968 0.9957515636671734 8.011617 5.124804
2232.560132 99245.88982 0.991019555864456 8.131462 5.079108
2232.580564 98931.313453 0.9907271878418774 8.161862 5.06786
2232.600997 98307.622583 0.9876659020752991 8.192562 5.055458
