Dates Flux Corrflux Xpos Ypos
2228.902847 1526120.776172 1.007874687388708 8.929423 6.465214
2228.92328 1526888.946728 1.008074379762503 8.888113 6.468726
2228.943713 1527823.876586 1.0084480553953197 8.849257 6.478505
2228.964145 1528641.599443 1.0087861375702576 8.809095 6.498916
2228.984578 1529198.387498 1.0090360118966366 8.771905 6.515809
2229.00501 1529894.423232 1.0094354275745285 8.736368 6.535533
2229.025443 1530181.133764 1.00961786112942 8.698933 6.557627
2229.066308 1530774.100553 1.0101773534292797 8.620947 6.618764
2229.08674 1531156.746073 1.0105717676552763 8.588994 6.651462
2229.127606 1532077.822071 1.0114069921981585 8.565373 6.730498
2229.148038 1532099.773619 1.011620935173221 8.529532 6.750632
2229.168471 1532195.682349 1.0119210967506955 8.487918 6.76672
2229.188903 1531948.111271 1.0120591597872977 8.435927 6.781376
2229.229768 1531584.593609 1.0123516706817337 8.340864 6.795024
2229.250201 1530951.945904 1.0122286441457016 8.283931 6.798479
2229.270633 1530588.602675 1.0122575798389308 8.226812 6.799966
2229.291066 1530615.510535 1.012545586549326 8.160592 6.801371
2229.311498 1531052.007325 1.0130541748591975 8.09491 6.811406
2229.352364 1532352.921349 1.0140722280653398 7.965067 6.85977
2229.372796 1533346.61833 1.014574856351763 7.905087 6.900743
2229.413661 1534414.699049 1.0142293877617408 7.776583 6.960584
2229.434094 1534938.684567 1.0136154493473128 7.720996 6.993148
2229.515824 1537104.158888 1.014413212427211 8.58264 6.580022
2229.536256 1537727.234715 1.015009283856113 8.545126 6.616244
2229.556689 1537476.596105 1.015114184350366 8.500228 6.658906
2229.577122 1537968.936025 1.0157439919068898 8.457016 6.703064
2229.597554 1537798.169345 1.0159405678946407 8.413594 6.739165
2229.617987 1537379.418607 1.015953347511296 8.365079 6.752616
2229.638419 1536952.413089 1.0159529876418347 8.315104 6.760955
2229.658852 1536552.370944 1.0159813181043107 8.258704 6.765484
2229.679284 1535897.287716 1.0157996424460078 8.202814 6.762768
2229.699717 1535735.679754 1.0158905319858036 8.150237 6.75363
2229.761014 1538406.041025 1.0155015526987516 8.836454 6.420917
2229.781447 1539639.197277 1.0161450559033052 8.802142 6.424034
2229.801879 1539327.477069 1.0158061554210815 8.765275 6.424606
2229.822312 1539506.132506 1.0158421595573532 8.732803 6.424653
