Dates Flux Corrflux Xpos Ypos
2228.861777 241027.234854 1.0045722292312205 7.300195 6.061725
2228.88221 241038.519822 1.0045637364281044 7.279349 6.044497
2228.902642 240903.935194 1.0039586857232634 7.260569 6.029159
2228.923075 240899.343567 1.0038652857550832 7.218461 6.014098
2228.943507 240739.237681 1.0031452921680093 7.17865 5.998871
2228.96394 240723.170732 1.0030369915359258 7.133201 5.98377
2228.984372 240694.091578 1.0028911181836528 7.087662 5.968801
2229.004805 240592.838729 1.0024581944779485 7.039681 5.954754
2229.025237 240599.492961 1.0024874163962272 6.987385 5.938008
2229.04567 240455.760166 1.0019020034995587 6.928142 5.922146
2229.066102 240545.881876 1.0023025449808074 6.855441 5.903499
2229.086534 240548.485094 1.002335574912267 6.790186 5.884282
2229.106967 240476.203373 1.0020470292155372 6.729987 5.869416
2229.127399 240502.191319 1.002154488398136 6.670724 5.858454
2229.147832 240527.957743 1.002248466574099 6.624879 5.848541
2229.168264 240454.310369 1.0019234927428544 6.593015 5.837794
2229.188697 240457.077518 1.0019107601515806 6.564393 5.82343
2229.209129 240420.339131 1.0017304244049192 6.539684 5.8114
2229.229562 240452.210518 1.0018314315042627 6.516813 5.797747
2229.249994 240415.983987 1.001638579431898 6.492118 5.781576
2229.270427 240513.830237 1.001994759699359 6.466499 5.766103
2229.290859 240533.418041 1.0020055570271644 6.436968 5.748233
2229.311292 240542.258754 1.0019560459068915 6.406915 5.728999
2229.331724 240574.300748 1.0019821912097697 6.375503 5.707593
2229.352157 240570.58684 1.0018401931975638 6.343363 5.687886
2229.372589 240504.750916 1.0014007423004343 6.30689 5.667647
2229.393021 240462.101125 1.000847705325282 6.236679 5.643195
2229.413454 240508.709675 1.0004879957042285 6.156385 5.616438
2229.433886 240524.707843 0.9998457554698721 6.075105 5.591953
2229.454319 240477.245852 0.9989527284118992 6.009511 5.572024
2229.515616 240518.084067 1.0022166484406887 6.7666 5.847306
2229.536049 240554.780787 1.002376034939508 6.708344 5.836631
2229.556481 240519.861999 1.0022208088029012 6.64742 5.823599
2229.576913 240533.505297 1.0022498832570976 6.593903 5.811155
2229.597346 240536.218164 1.0022328184998393 6.561779 5.798925
2229.617778 240543.585048 1.0022350313575632 6.538214 5.784648
2229.638211 240622.220625 1.0025288814350728 6.515359 5.770495
2229.658643 240644.94706 1.002580386078413 6.491197 5.75449
